price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
32505,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Diesel,8.0,"Alloy wheels,Catalytic Converter,Roof rack,Touch screen",0.0,1.0,125.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1666.0,front,5.6,Standard,Premium Media,Safety Premium Package
32500,Opel Insignia,Station wagon,VAT deductible,2500.0,Employee's car,Diesel,8.0,"Alloy wheels,Touch screen",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1716.0,front,6.0,Standard,Premium Media,Safety Standard Package
32350,Opel Insignia,Sedans,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Sport package,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1600.0,1503.0,front,6.3,Premium,Premium Media,Safety Premium Package
32345,Opel Insignia,Off-Road,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Roof rack,Ski bag,Sport package,Sport seats,Sport suspension,Touch screen,Trailer hitch,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1487.0,4WD,6.0,Premium,Premium Media,Safety Premium Package
32313,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,Alloy wheels,0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1441.0,front,6.0,Standard,Premium Media,Safety Standard Package
32115,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Diesel,8.0,Alloy wheels,0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1441.0,front,5.0,Standard,Premium Media,Safety Standard Package
32054,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Roof rack",0.0,1.0,122.0,0,Metallic,Part/Full Leather,Automatic,1490.0,1487.0,front,6.0,Premium,Premium Media,Safety Premium Package
31999,Opel Insignia,Sedans,VAT deductible,3000.0,Used,Diesel,6.0,Alloy wheels,0.0,1.0,101.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1503.0,front,5.4,Standard,Premium Media,Safety Standard Package
31995,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Diesel,8.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,125.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1613.0,front,5.5,Standard,Premium Media,Safety Premium Package
31990,Opel Insignia,Station wagon,VAT deductible,1230.0,Employee's car,Diesel,8.0,"Alloy wheels,Roof rack,Sport seats,Touch screen,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1666.0,front,5.6,Premium Plus,Premium Media,Safety Standard Package
31990,Opel Insignia,Station wagon,VAT deductible,2500.0,Demonstration,Benzine,6.0,"Alloy wheels,Roof rack,Sport package,Sport seats,Touch screen,Voice Control",0.0,1.0,122.0,1,Metallic,Part/Full Leather,Automatic,1490.0,1487.0,front,6.2,Premium,Premium Media,Safety Premium Package
31900,Opel Insignia,Station wagon,VAT deductible,9999.0,Used,Diesel,8.0,Alloy wheels,0.0,1.0,125.0,0,Metallic,Cloth,Automatic,1956.0,1462.0,front,5.6,Standard,Standard Media,Safety Standard Package
31890,Opel Insignia,Station wagon,VAT deductible,3500.0,Demonstration,Benzine,6.0,"Alloy wheels,Roof rack,Touch screen,Voice Control",0.0,1.0,121.0,1,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,6.2,Premium,Premium Media,Safety Premium Package
31700,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Diesel,6.0,"Alloy wheels,Touch screen",0.0,1.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1485.0,front,4.6,Premium,Premium Media,Safety Standard Package
31690,Opel Insignia,Sedans,VAT deductible,300.0,Demonstration,Benzine,6.0,"Alloy wheels,Catalytic Converter,Sport seats,Touch screen",0.0,1.0,121.0,0,Metallic,Cloth,Automatic,1490.0,1472.0,front,6.1,Standard,Premium Media,Safety Standard Package
31990,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Trailer hitch,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1600.0,1487.0,front,6.4,Premium,Premium Media,Safety Premium Package
31990,Opel Insignia,Station wagon,VAT deductible,15000.0,Demonstration,Diesel,6.0,Alloy wheels,0.0,1.0,100.0,1,Metallic,Part/Full Leather,Automatic,1598.0,1487.0,front,5.4,Premium,Premium Media,Safety Premium Package
31690,Opel Insignia,Sedans,VAT deductible,8000.0,Used,Benzine,6.0,"Alloy wheels,Shift paddles,Touch screen,Voice Control",0.0,1.0,121.0,1,Metallic,Part/Full Leather,Automatic,1490.0,1472.0,front,6.1,Premium,Premium Media,Safety Premium Package
31400,Opel Insignia,Station wagon,VAT deductible,5000.0,Pre-registered,Diesel,6.0,"Alloy wheels,Roof rack",0.0,1.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1585.0,front,5.5,Premium,Premium Media,Safety Premium Package
31505,Opel Insignia,Off-Road,VAT deductible,1647.3626086956522,New,Diesel,8.0,"Alloy wheels,Roof rack,Ski bag,Sport package,Sport seats,Sport suspension,Touch screen,Trailer hitch,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1487.0,front,6.0,Premium,Premium Media,Safety Premium Package
31500,Opel Insignia,Sedans,VAT deductible,10.0,New,Diesel,6.0,"Alloy wheels,Touch screen,Voice Control",0.0,0.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1522.0,front,5.4,Standard,Premium Media,Safety Standard Package
31500,Opel Insignia,Station wagon,VAT deductible,6100.0,Used,Diesel,6.0,Alloy wheels,0.0,1.0,100.0,0,Metallic,Part/Full Leather,Automatic,1598.0,2115.0,front,5.5,Standard,Premium Media,Safety Standard Package
31490,Opel Insignia,Station wagon,VAT deductible,8000.0,Demonstration,Diesel,6.0,Alloy wheels,0.0,1.0,100.0,1,Metallic,Cloth,Automatic,1598.0,1582.0,front,5.4,Standard,Premium Media,Safety Standard Package
31500,Opel Insignia,Station wagon,VAT deductible,10.0,Pre-registered,Diesel,6.0,"Alloy wheels,Touch screen,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1507.0,front,5.2,Premium,Premium Media,Safety Premium Package
30990,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1600.0,1487.0,front,6.4,Premium,Premium Media,Safety Premium Package
30900,Opel Insignia,Station wagon,VAT deductible,41.0,Pre-registered,Diesel,8.0,"Alloy wheels,Touch screen",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1660.0,front,5.7,Standard,Premium Media,Safety Standard Package
30800,Opel Insignia,Station wagon,VAT deductible,11300.0,Used,Benzine,8.0,"Alloy wheels,Roof rack",0.0,1.0,191.0,0,Metallic,Part/Full Leather,Automatic,1998.0,1487.0,4WD,8.0,Premium,Premium Media,Safety Premium Package
30450,Opel Insignia,Sedans,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1600.0,1503.0,front,6.4,Premium,Premium Media,Safety Premium Package
30299,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Roof rack",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1487.0,front,6.0,Premium,Premium Media,Safety Premium Package
30155,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Catalytic Converter,Roof rack,Touch screen",0.0,1.0,147.0,1,Metallic,Cloth,Automatic,1598.0,1582.0,front,6.8,Standard,Premium Media,Safety Premium Package
